School Year,State,District Code,District Name,School Code,School Name,Grade,Total,Hispanic / Latino of any race(s),American Indian / Alaskan Native,Asian,Black / African American,Native Hawaiian / Other Pacific Islander,White,Two or More Races,Not Provided*,Male,Female,Hispanic / Latino of any race(s)_M,Hispanic / Latino of any race(s)_F,American Indian / Alaskan Native_M,American Indian / Alaskan Native_F,Asian_M,Asian_F,Black / African American_M,Black / African American_F,Native Hawaiian / Other Pacific Islander_M,Native Hawaiian / Other Pacific Islander_F,White_M,White_F,Two or More Races_M,Two or More Races_F,Not Provided_M*,Not Provided_F*,% Hispanic / Latino of any race(s),% American Indian / Alaskan Native,% Asian,% Black / African American,% Native Hawaiian / Other Pacific Islander,% White,% Two or More Races,% Not Provided*,% Male,% Female
2015,WA,27010,Tacoma School District,3646,Boze,4,59,19,0,13,13,3,11,0,0,33,26,12,7,0,0,5,8,6,7,2,1,8,3,0,0,0,0,32.20,0.00,22.03,22.03,5.08,18.64,0.00,0.00,55.93,44.07
2015,WA,27010,Tacoma School District,3646,Boze,5,60,15,4,16,11,3,11,0,0,33,27,8,7,1,3,9,7,7,4,2,1,6,5,0,0,0,0,25.00,6.67,26.67,18.33,5.00,18.33,0.00,0.00,55.00,45.00
2015,WA,27010,Tacoma School District,2872,Browns Point,K2,70,7,0,4,2,1,44,12,0,40,30,5,2,0,0,2,2,0,2,0,1,25,19,8,4,0,0,10.00,0.00,5.71,2.86,1.43,62.86,17.14,0.00,57.14,42.86
2015,WA,27010,Tacoma School District,2872,Browns Point,1,83,7,0,12,3,0,43,18,0,41,42,4,3,0,0,8,4,0,3,0,0,20,23,9,9,0,0,8.43,0.00,14.46,3.61,0.00,51.81,21.69,0.00,49.40,50.60
2015,WA,27010,Tacoma School District,2872,Browns Point,2,67,7,0,6,3,0,47,4,0,33,34,5,2,0,0,1,5,1,2,0,0,23,24,3,1,0,0,10.45,0.00,8.96,4.48,0.00,70.15,5.97,0.00,49.25,50.75
2015,WA,27010,Tacoma School District,2872,Browns Point,3,81,11,1,4,10,0,54,1,0,38,43,5,6,1,0,3,1,5,5,0,0,24,30,0,1,0,0,13.58,1.23,4.94,12.35,0.00,66.67,1.23,0.00,46.91,53.09
2015,WA,27010,Tacoma School District,2872,Browns Point,4,78,6,1,8,6,2,53,2,0,48,30,2,4,1,0,5,3,4,2,2,0,33,20,1,1,0,0,7.69,1.28,10.26,7.69,2.56,67.95,2.56,0.00,61.54,38.46
2015,WA,27010,Tacoma School District,2872,Browns Point,5,81,3,0,13,7,1,55,2,0,49,32,2,1,0,0,9,4,1,6,1,0,35,20,1,1,0,0,3.70,0.00,16.05,8.64,1.23,67.90,2.47,0.00,60.49,39.51
2015,WA,27010,Tacoma School District,3397,Bryant,PK,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00
2015,WA,27010,Tacoma School District,3397,Bryant,K2,48,3,0,1,4,0,31,9,0,23,25,0,3,0,0,1,0,2,2,0,0,16,15,4,5,0,0,6.25,0.00,2.08,8.33,0.00,64.58,18.75,0.00,47.92,52.08
